headline	summary
Наказание за самоуверенность: Малыхин проиграл Кейну и утратил титул чемпиона ONE FC в тяжёлом весе	Анатолий Малыхин в Бангкоке потерпел сенсационное поражение в главном поединке турнира ONE 169 с Умаром Кейном. В первом раунде россиянин пропустил тейкдаун и был наказан жёлтой карточкой за хватание канатов, а в оставшихся так и не смог подобрать ключи к сопернику. Более того, в третьем отрезке он получил рассечение над левым глазом, а в пятом оказался в нокдауне. В итоге двое из трёх судей встали на сторону сенегальца, а Малыхин не смог продлить беспроигрышную серию из 14 боёв и лишился титула в тяжёлом весе.
«Находится на низком уровне»: Васильев — о скольжении фигуристок, возвращении Валиевой и потолке парного катания	Если Камила Валиева по своим физическим и ментальным кондициям будет готова вернуться, то хотелось бы её увидеть на льду после дисквалификации. Об этом в интервью RT заявил олимпийский чемпион в парном катании Олег Васильев. По его словам, дело не в жалости к спортсменке, а в том, что столь выдающийся талант не должен пропадать зря. Специалист также объяснил, почему уровень мирового парного катания в отсутствие россиян подтянулся, предположил, что Этери Тутберидзе стала заложницей той «империи», которую создала, и выразил уверенность, что в погоне за сложностью тренеры перестали заниматься с детьми скольжением и азами.
Победа «Спартака» в дерби, долги «Лады» по зарплате, удаления Кузнецова и юбилей Шалунова: главные события недели в КХЛ	«Спартак» в третий раз обыграл ЦСКА в нынешнем сезоне КХЛ, а «Локомотив» оказался сильнее «Трактора» благодаря 200-й шайбе Максима Шалунова и дублю Александра Радулова. Удаления Евгения Кузнецова привели к поражениям СКА в матчах с «Салаватом Юлаевым» и «Куньлунем», а «Амур» установил рекордную безголевую серию и может пойти на вторую смену тренера. В «Ладе» признали наличие в клубе задолженности по зарплате перед хоккеистами, а лига создала рабочую группу по возможному возвращению Ярмарки юниоров  — аналога драфта НХЛ.
«Верить ему нельзя»: глава World Athletics Коу высказался о перспективах возвращения россиян на соревнования	Президент World Athletics Себастьян Коу сообщил, что рабочая группа организации изучает вопрос возвращения российских и белорусских легкоатлетов на соревнования под эгидой организации. При этом функционер подчеркнул, что решение об отстранении спортсменов двух стран он принимал не единолично. Однако бывший министр спорта РФ Павел Колобков призвал не доверять словам британца, который делает подобные заявления в угоду своим политическим интересам.
Затмил дуэль Кучерова и Федотова: Капризов оформил хет-трик из передач и вышел на второе место в гонке бомбардиров НХЛ	Кирилл Капризов трижды ассистировал партнёрам в матче регулярного чемпионата НХЛ с «Сан-Хосе» и удостоился звания первой звезды встречи. Благодаря этому форвард «Миннесоты» довёл свой бомбардирский счёт до 24 очков и вышел на второе место в лиге по этому показателю. При этом он обошёл лидера списка снайперов Никиту Кучерова, чья 11-я шайба в сезоне не спасла «Тампа-Бэй» от поражения в матче с «Филадельфией». А главным героем противостояния стал Иван Федотов, который отразил 22 броска и одержал первую победу в нынешнем сезоне.
«Нужно заняться своими делами»: Косторная и Куница взяли паузу в спортивной карьере на ближайшие два сезона	Алёна Косторная и Георгий Куница решили сделать паузу в соревновательной карьере. Фигуристы намерены пропустить ближайшие два сезона, но планируют впоследствии вернуться на лёд. Пара не назвала причину такого решения, ограничившись фразой о необходимости «заняться некоторыми своими делами». Насколько реально возобновление спортивной деятельности после длительного пропуска — в материале RT.
«Считаем позицию КДК нелогичной»: Рошу отстранили на три матча за стычку в дерби ЦСКА — «Спартак», а Литвинова — на два	КДК РФС вынес решение по итогам стычки в матче 14-го тура РПЛ между ЦСКА и «Спартаком». Одного из главных участников действа Виллиана Рошу дисквалифицировали на три встречи национального чемпионата, а Руслана Литвинова — на две, хотя изначально судья показал ему лишь жёлтую карточку. По словам руководителя комитета Артура Григорьянца, на обоих наложили одинаковые санкции за агрессивное поведение. Бразильца же наказали дополнительно ещё на одну игру за крики в адрес судьи. В стане армейцев итоговый вердикт назвали справедливым и заверили, что латиноамериканец раскаялся в своих действиях. Красно-белые, напротив, сочли его формальным и нелогичным.
«Плавание — это не совсем грустно»: Пиманков — о живой музыке на турнирах, студенческом спорте и коридоре функционера	Соревнования по плаванию могут проходить в атмосфере праздника и быть захватывающими. Такое мнение в интервью RT высказал чемпион мира в эстафете вольным стилем Денис Пиманков, который придумал и создал турнир Mad Wave Challenge. По его словам, детям крайне важно чувствовать, что они соревнуются в профессиональном антураже. Бывший спортсмен также рассказал, почему считает важной не тренерскую методику, а конкурентную среду, вспомнил о собственном опыте тренировок в США и объяснил, почему решил начать выставлять спортсменов на драфт.
Забил в пятом матче подряд: Овечкин принёс победу «Вашингтону» и был признан главной звездой дня в НХЛ	Александр Овечкин отличился в пятом матче подряд и принёс «Вашингтону» победу в матче регулярного чемпионата НХЛ с «Нэшвилом». Благодаря этому российский нападающий не только стал третьим хоккеистом в истории лиги по длительности голевой серии в возрасте 39 лет и старше, но и сократил до 33 шайб отставание от уникального рекорда Уэйна Гретцки. Другим героем дня стал форвард «Вегаса» Иван Барбашёв, трижды ассистировавший партнёрам в противостоянии с «Эдмонтоном», причём дважды — на последней минуте.
Нелогичная развязка: «Атлетико» вырвал победу на 93-й минуте матча с ПСЖ в четвёртом туре общего этапа Лиги чемпионов	«Атлетико» на 93-й минуте матча с ПСЖ одержал волевую победу, хотя нанёс всего четыре удара по чужим воротам, а Матвей Сафонов остался в запасе. «Интер» оказался сильнее «Арсенала» благодаря реализованному Хаканом Чалханоглу пенальти, а «Аталанта» дожала «Штутгарт». Дубль Роберта Левандовски помог «Барселоне» разгромить «Црвену звезду», а «Бавария» лишь раз огорчила «Бенфику», в составе которой девять сейвов совершил Анатолий Трубин. «Шахтёр» взял верх над «Янг Бойз», несмотря на то что пропустил первым, а «Зальцбург» не оставил шансов «Фейеноорду». О заключительных матчах четвёртого тура общего этапа Лиги чемпионов — в материале RT.
